'kang'gan'ling 抗感灵
'da'feng'shen'yan'fang 大风神验方
'xiao'er'jin'shi'pian 小儿进食片
'shuang'qing'he'ji 双清合剂
'luo'gai'quan 罗钙全
'fu'fang'yun'er'xi'tong 复方孕二烯酮
'fu'fang'jie'jing'an'ji'suan 复方结晶氨基酸
'yu'kui'qiang'xiao'ye 愈溃强效液
'yu'hui'qiang'xiao'ye 愈溃强效液
'ma'ren'run'chang 麻仁润肠
'fu'fang'du'zhong 复方杜仲
'qing'hua'zi'guang'gu'han'sheng 清华紫光古汉生
'fang'zhou'ban'mao'jiao'nang 方舟斑蝥胶囊
'zhu'she'yong'a'xi'luo'wei 注射用阿昔洛韦
'dan'pu'sai'dun'zhu'she'ye 氮普噻吨注射液
'zhu'she'yong'chui'ti'hou'ye 注射用垂体后叶
'zhu'she'yong'chui'ti'hou'xie 注射用垂体后叶
'xiao'feng'bai'jie'san 消风百解散
'fu'fang'shan'jin'che'hua'tie'pian 复方山金车花贴片
'bo'shi'shi'wei 波氏石韦
'bo'zhi'shi'wei 波氏石韦
'bo'shi'dan'wei 波氏石韦
'bo'zhi'dan'wei 波氏石韦
'yan'suan'luo'mei'sha'xing'yan 盐酸洛美沙星眼
'yi'fu'da 易福达
'yang'zhi'zhu'gen 羊踯躅根
'tiao'gan'he'wei'gao 调肝和胃膏
'diao'gan'he'wei'gao 调肝和胃膏
'tiao'gan'hu'wei'gao 调肝和胃膏
'tiao'gan'huo'wei'gao 调肝和胃膏
'diao'gan'hu'wei'gao 调肝和胃膏
'diao'gan'huo'wei'gao 调肝和胃膏
'wen'shen'yi'qi'tang 温肾益气汤
'wen'shen'yi'qi'shang 温肾益气汤
'nan'huang'san 南黄散
'na'huang'san 南黄散
'xin'fu'lin'di'yan'ji 新福林滴眼剂
'da'an'shen'wan 大安神丸
'yi'mi'mei 胰糜酶
'yi'mei'mei 胰糜酶
'ying'gu 鹰骨
'tu'bei'mu 土贝母
'e'zhu'you 莪术油
'e'shu'you 莪术油
'wo'shu'you 莪术油
'wo'zhu'you 莪术油
'lv'hua'teng'xi'long 氯化腾喜龙
'hong'se'xin'ri'jue 红色新日蕨
'an'shen'bu'nao'ruan'jiao'nang 安神补脑软胶囊
'wu'yu'gu'san 乌鱼骨散
'dian'hua'you'jiao'nang 碘化油胶囊
'sheng'jin'gan'lu'tang 生津甘露汤
'sheng'jin'gan'lu'shang 生津甘露汤
'lian'hua'qing'wen'pian 连花清瘟片
'cong'bai'chi'tang 葱白豉汤
'cong'bai'chi'shang 葱白豉汤
'gan'cao'fen 甘草粉
'lv'fen'na'suan 氯芬那酸
'lv'fen'ne'suan 氯芬那酸
'lv'fen'nei'suan 氯芬那酸
'huai'zhi 槐枝
'huai'qi 槐枝
'tu'xuan'shen 土玄参
'fu'gan'kang'chong'ji 复肝康冲剂
'zhi'tuo'jie'bai 智托洁白
'kang'tang'jiao'nang 抗糖胶囊
'gan'shen'gao 肝肾膏
'shu'feng'xiong'gui'san 疏风芎归散
'chai'hu'shu'gan'san 柴胡疏肝散
'pu'ren'ping 普仁平
'ben'cao'you 本草油
'pu'luo'ci'xi'yin'dao'yong 普罗雌烯阴道用
'qiang'ding'suan'na 羟丁酸钠
'chou'la'shu 臭辣树
'xiu'la'shu 臭辣树
'qing'ping'wan 清平丸
're'ya'san 热牙散
'hua'teng'zi 花藤子
'pen'xi'gua'shuang'pen'ji 喷西瓜霜喷剂
'wu'jia'can 五加参
'wu'jia'shen 五加参
'wu'jia'cen 五加参
'wu'jia'san 五加参
'ba'wei'di'huang'wan 八味地黄丸
'long'li'ye'hua 龙利叶花
'long'li'xie'hua 龙利叶花
'zhu'she'yong'ru'tang'suan'a 注射用乳糖酸阿
'zhu'she'yong'ru'tang'suan'e 注射用乳糖酸阿
'hai'jin'sha 海金沙
'yi'di'gai 依地钙
'yi'de'gai 依地钙
'li'yu'mu 鲤鱼目
'ma'qi 马乞
'hu'bei'hu'jiao 湖北胡椒
'xiao'yao'ke'li 逍遥颗粒
'qiu'zhu'cao 球柱草
'shu'rui 枢瑞
'xia'ye'hong'jing'tian 狭叶红景天
'han'ning'xin'mai'zheng 寒凝心脉证
'han'ning'xin'mo'zheng 寒凝心脉证
'huang'hu'pen'wu'ji 黄虎喷雾剂
'sang'zhi'mao'gen'tang 桑枝茅根汤
'sang'zhi'mao'gen'shang 桑枝茅根汤
'niao'zhu'liu'zhong'yao'fang'ji 尿潴留中药方剂
'ma'ru 马乳
'zi'yin'xi'feng'tang 滋阴息风汤
'zi'yin'xi'feng'shang 滋阴息风汤
'yi'pei 一培
'jia'nuo'shun 佳诺顺
'xia'bo'ding 下蕃锭
'xia'fan'ding 下蕃锭
'che'sang'zai 车桑仔
'che'sang'zi 车桑仔
'ju'sang'zai 车桑仔
'ju'sang'zi 车桑仔
'jia'chuan'yang'pi'xiao'ji'wan 家传养脾消积丸
'ai'hui'bing'zi 艾灰饼子
'yi'hui'bing'zi 艾灰饼子
'wang'wen'hui'bao 网纹灰包
'zhu'she'yong'yan'suan'ai'si'luo'er 注射用盐酸艾司洛尔
'mi'fang'ding'xin'wan 秘方定心丸
'sha'ban'li'zhong'tang 砂半理中汤
'yi'di'na 依地钠
'yi'de'na 依地钠
'gang'yong 肛痈
'jiu'jiao'wan'jiao'nang 九胶丸胶囊
'qiang'yi'lin'suan'na'pian 羟乙磷酸钠片
'liu'suan'xi'suo'mi'xing'lv 硫酸西索米星氯
'wu'wei'gan'lu'yao'yu'ke'li 五味甘露药浴颗粒
'zhu'lin'an 竹林胺
'xue'ya'an'ba'bu'gao 血压安巴布膏
'xie'ya'an'ba'bu'gao 血压安巴布膏
'pu'you 浦优
'chuan'wu'wan 川乌丸
'jin'hua'jian 金花煎
'jin'ling'zi'san 金铃子散
'si'wu'cheng'bo'san 四物澄波散
'si'wu'deng'bo'san 四物澄波散
'jia'ke'su'ruan'jiao'nang 甲壳素软胶囊
'luo'li'tan'he'gao 瘰疬痰核膏
'luo'li'tan'hu'gao 瘰疬痰核膏
'zhen'jin'san 真金散
'tong'bian'ning 通便宁
'er'tong'qing'yan'jie're 儿童清咽解热
'bo'li'tang'quan'suan'mei 玻璃糖醛酸酶
'chuan'bei'jiao'nang 川贝胶囊
'niu'huang'jie'du'pian 牛黄解毒片
'gui'qi'ke'li 归芪颗粒
'zuo'pen 坐盆
'ji'ji'shu 基及树
'qing're'jie'du'pian 清热解毒片
'du'sheng'tang 独圣汤
'du'sheng'shang 独圣汤
'da'ye'ma'wei'lian 大叶马尾连
'xian'ye'ji 线叶蓟
'xian'xie'ji 线叶蓟
'wei'dan'bai'mei'pian 胃蛋白酶片
'wen'shen'sheng'yang'tang 温肾升阳汤
'wen'shen'sheng'yang'shang 温肾升阳汤
'yi'tong'shu 伊痛舒
'nao'xin'qing'pian 脑心清片
'ju'pi'xing'cheng'tang 橘皮醒酲汤
'ju'pi'xing'cheng'shang 橘皮醒酲汤
'fu'zi'dai'huang'tang 附子大黄汤
'fu'zi'dai'huang'shang 附子大黄汤
'dai'huang'zhe'chong'wan 大黄遮虫丸
'zuo'xuan'mi'zuo'pian 左旋咪唑片
'dan'zhi'zhi'zi'wan 丹栀栀子丸
'liu'suan'ruan'gu'su'zhu'she 硫酸软骨素注射
'shu'an'ling 舒安灵
'he'xian'gu'qing'shi'dan 何仙姑庆世丹
'qi'wei'sha'shen'tang'san 七味沙参汤散
'qi'wei'sha'shen'shang'san 七味沙参汤散
'an'sai'ding 安塞定
'shi'yi'sheng'wan 十一圣丸
'yang'xue'qing're'fang 养血清热方
'jin'long'pai'an'gong'niu'huang'wan 金龙牌安宫牛黄丸
'feng'wang'jiang'yu'gan'you 蜂王浆鱼肝油
'san'leng'mei'yao'wan 三棱没药丸
'san'leng'mo'yao'wan 三棱没药丸
'cu'suan'qing'hua'ke'di'song'ruan'gao 醋酸氢化可的松软膏
'zeng'dai 甑带
'yan'suan'duo'rou'bi'xing'zhu 盐酸多柔比星注
'yu'ping'feng'jiao'nang 玉屏风胶囊
'gui'zhou'shen'qi'zhi'yao'you 贵州神奇制药有
'huang'ban'lan'zi'yu 黄斑蓝子鱼
'yi'qi'cong'ming'tang 益气聪明汤
'yi'qi'cong'ming'shang 益气聪明汤
'fa'chuang'gao 发疮膏
'zhu'she'yong'yan'suan'ge'la 注射用盐酸格拉
'bi'ding'chun 吡丁醇
'pi'ding'chun 吡丁醇
'zhu'shen'jing'xi'bao 猪神经细胞
'zi'xing'kang'tai'kou'fu'ye 紫星康泰口服液
'qi'xing'san 七星散
'zao'jia'zi'wan 皂荚子丸
'fu'fang'lu'tai'gao 复方鹿胎膏
'fu'kang'zuo'zhu'she'ye 氟康唑注射液
'qi'ju'di'huang'wan 杞菊地黄丸
'yi'po'sun'qi 已破损期
'yi'po'sun'ji 已破损期
'yue'zhi'ping 乐知苹
'yue'zhi'ping 乐知苹
'lao'zhi'ping 乐知苹
'le'zhi'peng 乐知苹
'yue'zhi'peng 乐知苹
'lao'zhi'peng 乐知苹
'ya'ye'suan'gai'zhu'she'ye 亚叶酸钙注射液
'pu'mi'ke'qi'wu'ji 普米克气雾剂
'he'tun'geng 河豚羹
'qiang'li'su 强力素
'dai'mao'yu'jin'tang 玳瑁郁金汤
'dai'mao'yu'jin'shang 玳瑁郁金汤
'bang'zhu 蚌珠
'beng'zhu 蚌珠
'run'chang'nong'suo'wan 润肠浓缩丸
'tian'yi'zhi'ke'tang'jiang 天一止咳糖浆
'san'yu'huo'xue'tang 散瘀活血汤
'san'yu'huo'xue'shang 散瘀活血汤
'jia'zhuang'xian'fen 甲状腺粉
'fu'jing'wan 复睛丸
'po'huo'san 泼火散
'jia'wei'zhen'ling'dan 加味震灵丹
'jia'huang'suan'tuo'wan'si'qiong'pian 甲磺酸托烷司琼片
'qu'du'hua'zhong'tang 祛毒化肿汤
'qu'du'hua'zhong'shang 祛毒化肿汤
'qu'du'hu'gan'wan 袪毒护肝丸
'qu'dai'hu'gan'wan 袪毒护肝丸
'bo'tong 亳桐
'gan'you'guo'tang'zhu'she'ye 甘油果糖注射液
'qi'wei'xue'bing'wan 七味血病丸
'qi'wei'xie'bing'wan 七味血病丸
'qin'hua'dan 噙化丹
'qin'hua'wan 噙化丸
'pan'shu'tai'ke 潘舒泰克
'dan'mu'jin'gao 胆木浸膏
'fei're'tang 肺热汤
'fei're'shang 肺热汤
'xi'zang'tao'ye'shan'hu'ye 西藏桃叶珊瑚叶
'xi'zang'tao'ye'shan'hu'xie 西藏桃叶珊瑚叶
'zhu'she'yong'xi'xin'nao 注射用细辛脑
'you'xuan'tong'luo'fen'an'ding'san'chun'pian 右旋酮洛芬氨丁三醇片
'you'xuan'tong'luo'fen'an'zheng'san'chun'pian 右旋酮洛芬氨丁三醇片
'luo'xin'ping 络欣平
'lao'xin'ping 络欣平
'yi'wei'yao'gen 一味药根
'tai'yi'pu'tuo'ling'dan 太乙普陀灵丹
'wei'jian'xin 维健欣
'zha'chan'tang 蚱蝉汤
'zha'chan'shang 蚱蝉汤
'yan'suan'bing'ka'te'luo'pian 盐酸丙卡特罗片
'jia'ba'pen'ding'pian 加巴喷丁片
'jia'ba'pen'zheng'pian 加巴喷丁片
'hua'ze'lan 华泽兰
'ye'zhi'ma 野芝麻
'ma'mao'san 马毛散
'jia'xiao'zuo'ru'gao 甲硝唑乳膏
'fu'fang'jin'qian'cao 复方金钱草
'gui'pi'wan 归脾丸
'zhuang'yuan 壮源
'chang'chun'mao 长春茂
'hou'pu'jiang'cha 厚朴姜茶
'a'li'pai'zuo'kou'qiang'beng'jie'pian 阿立哌唑口腔崩解片
'e'li'pai'zuo'kou'qiang'beng'jie'pian 阿立哌唑口腔崩解片
'gou'ji 狗荠
'gou'qi 狗荠
'pen'gui 盆桂
'feng'ling'jiao'nang 峰龄胶囊
'fang'ji'di'huang'tang 防己地黄汤
'fang'ji'di'huang'shang 防己地黄汤
'ka'ma'xi'ping'huan'shi'pian 卡马西平缓释片
'ying'zhi'suan'hong'mei'su 硬脂酸红霉素
'jiang'tang'jia 降糖甲
'di'xi'pan 地西泮
'su'ke'le 苏刻乐
'su'ke'yue 苏刻乐
'su'ke'lao 苏刻乐
'feng're'gan'mao'ke'li'chong'ji 风热感冒颗粒冲剂
'wu'lv'fen'na 五氯酚钠
'hua'yu'san 化瘀散
'fu'fang'she'zhi'ruan'gao 复方蛇脂软膏
'fu'fang'yi'zhi'ruan'gao 复方蛇脂软膏
'pu'mei'yun'tong 普美孕酮
'xin'nian'su 新粘素
'xin'zhan'su 新粘素
'er'fu'la'song 二氟拉松
'huang'fu'wan 黄附丸
'ju'ye'san'qi'gen 菊叶三七根
'ju'xie'san'qi'gen 菊叶三七根
'gan'mao'yao'pian 感冒药片
'xi'ke'lao 希刻劳
'xiao'nuo'mei'su'gan'tang'jiang 小诺霉素干糖浆
'dian'lan'xian'feng'yao 点烂弦风药
'qing'hao'yin'cha 青蒿饮茶
'bu'luo'wei'ma'fen'san'pian 布洛伪麻分散片
'bao'li'an 宝丽安
'bei'ta'le'ke 倍他乐可
'bu'jing'wan 不惊丸
'hei'can'tang 黑参汤
'ju'er'jia'gui'yang'wan 聚二甲硅氧烷
'yan'suan'pu'luo'pa'tong'zhu 盐酸普罗帕酮注
'tong'shen'tang 通神汤
'tong'shen'shang 通神汤
'gan'cao'wan 甘草丸
'xiang'ma'san 香麻散
'bi'tong'ling'pen'wu'ji 鼻通灵喷雾剂
'ma'lai'suan'yi'xian'bing'qin 马来酸乙酰丙嗪
'shi'jiang'ping'jie'tang 十将平痎汤
'shi'qiang'ping'jie'tang 十将平痎汤
'shi'jiang'ping'jie'shang 十将平痎汤
'shi'qiang'ping'jie'shang 十将平痎汤
'tuo'zhi'sha'bu 脱脂纱布
'huang'bai'jiu 黄柏酒
'xin'fu'kang'jiao'nang 心复康胶囊
'ha'fo'jin'gu'tai'jiao'nang 哈佛金骨肽胶囊
'bu'luo'wei'ma'hun'xuan'ye 布洛伪麻混悬液
'bai'hua'peng'qi'cao 白花蟛蜞草
'jin'kou'dai 金口袋
'xiang'yun'gan'tai 香云肝泰
'fu'zhi'ge 福之格
'she'yao'jie'du'wan 蛇咬解毒丸
'di'mei'zi 地莓子
'de'mei'zi 地莓子
'lin'suan'pai'kui 磷酸哌喹
'gong'yan'kang 宫炎康
'mei'hua'wan 梅花丸
'qing'xiu'suan'xi'tai'pu'lan 氢溴酸西酞普兰
'zhou'liao'xue 肘髎穴
'bi'mei'tan'suan'qing'na'pian 铋镁碳酸氢钠片
'jin'zhu'hua'tan'yuan 金珠化痰圆
'er'zhi'yi'yuan 二至益元
'li'zhu'su'pai 丽珠速派
'zhen'shi'ming'di'yan'ye 珍视明滴眼液
'jia'jian'ci'shi'san 加减磁石散
'qing'lian'gao 青莲膏
'pi'yan'gao 皮炎膏
'yi'gan'qing'zheng'tang 益肝清症汤
'yi'gan'qing'zheng'shang 益肝清症汤
'qing're'ping'gan'tang 清热平肝汤
'qing're'ping'gan'shang 清热平肝汤
'fu'mei'si'tan 福美司坦
'chou'er 丑耳
'dong'tai'jia'kang'ling'jiao'nang 东泰甲亢灵胶囊
'fu'fang'xiao'hua'mei 复方消化酶
'tie'jiu'cai 铁韭菜
'bai'he'ling'zhi 白鹤灵芝
'nuo'jin'ping 诺金平
'wu'ji'san 乌及散
'shen'jie 申捷
'zhen'ren'jie'du'tang 真人解毒汤
'zhen'ren'jie'du'shang 真人解毒汤
'lian'ji'tang 连及汤
'lian'ji'shang 连及汤
'bi'mei'nuo 吡美诺
'pi'mei'nuo 吡美诺
'huang'tong'pai'zhi 黄酮哌酯
'bai'zhu'tang 白术汤
'bai'shu'tang 白术汤
'bai'zhu'shang 白术汤
'bai'shu'shang 白术汤
'qing'gan'jiu'wei 清感九味
'an'tan 安坦
'kang're'zhen'jing'wan 抗热镇痉丸
'an'kun 安坤
'xi'yang'yao'jiu'fang 西洋药酒方
'na'ke'ding'tang'jiang 那可丁糖浆
'na'ke'zheng'tang'jiang 那可丁糖浆
'die'da'hong'yao'jiao'nang 跌打红药胶囊
'an'shen'yao 安神药
'sai'nai'pu'ting 噻奈普汀
'jin'yin'hua'tang'han'pian 金银花糖含片
'jiang'su'xin'fu'yao'ye'you 江苏信孚药业有
'jiang'su'shen'fu'yao'ye'you 江苏信孚药业有
'lao'fei'si 劳菲思
'lao'fei'sai 劳菲思
'tu'zhu'san 土朱散
'tu'shu'san 土朱散
'lai'en'shu'fen 莱恩舒芬
'ke'de'ping 科德平
'xue'shan'jin'luo'ling 雪山筋络灵
'yu'fang'tang'chang'qing'shu'kou'fu'ye 御坊堂畅清舒口服液
'si'qing'zuo'lin 四氢唑林
'fu'fang'ma'yi'huo'luo'jiao 复方蚂蚁活络胶
'yan'suan'qu'jia'ti'lin 盐酸去甲替林
'wu'gong'ci 蜈蚣刺
'zhu'li'da'tan 竹沥达痰
'tian'xiong'jin'jiu 天雄浸酒
'yi'zhe'mai'bu 依折麦布
'yi'she'mai'bu 依折麦布
'bai'bei'wan 百倍丸
'bai'zhi'tang 白芷汤
'bai'zhi'shang 白芷汤
'man'yu 蔓于
'wan'yu 蔓于
'ke'li'ma'ting 克立马汀
'nuo'wa'ke'bing'du 诺瓦克病毒
'jian'pi'ke'li 健脾颗粒
'kun'bu'san 昆布散
'pu'luo'ci'xi'ru'gao 普罗雌烯乳膏
'shi'bao'san 十宝散
'zhu'she'yong'peng'ti'zuo'mi 注射用硼替佐米
'shuang'long'feng'shi 双龙风湿
'an'an'ke'li 胺安颗粒
'niu'fang'feng 牛防风
'guan'sha 冠沙
'zhuang'dan'zhen'jing'wan 壮胆镇惊丸
'fu'fang'ke'xie'li'ning 复方克泻痢宁
'nao'geng'sheng'su 脑更生素
'lu'gan'shi'fen 炉甘石粉
'ma'huang'tiao'xin'xie're'tang 麻黄调心泄热汤
'ma'huang'tiao'xin'yi're'tang 麻黄调心泄热汤
'qing'xi'mi'chuan'bei'ting'dan 清溪秘传北庭丹
'nai'pu'sheng'na'ke'li 萘普生钠颗粒
'yi'fu'pian 异福片
'ji'chi'tang 鸡胵汤
'ji'zhi'tang 鸡胵汤
'ji'chi'shang 鸡胵汤
'ji'zhi'shang 鸡胵汤
'duo'pan'li'tong'hun'xuan'ye 多潘立酮混悬液
'ke'su'ting'tang'jiang 咳速停糖浆
'li'qian'gou 李乾构
'tiao'yuan'shen'qi'wan 调元肾气丸
'diao'yuan'shen'qi'wan 调元肾气丸
'gu'ben'ming'mu'ke'li 固本明目颗粒
'jing'zhi'yin'qiao'jie'du 精制银翘解毒
'hu'nan'jiu'dian'zhi'yao'you 湖南九典制药有
'ru'guo'tang 乳果糖
'hu'bei'an'lian'yao'ye'you 湖北安联药业有
'zhi'zhu'mo'fang 蜘蛛摩方
'zhi'zhu'ma'fang 蜘蛛摩方
'yin'xuan 阴癣
'xuan'zhi'tang 宣志汤
'xuan'zhi'shang 宣志汤
'ling'gui'shu'gan'tang 苓桂术甘汤
'ling'gui'zhu'gan'tang 苓桂术甘汤
'ling'gui'shu'gan'shang 苓桂术甘汤
'ling'gui'zhu'gan'shang 苓桂术甘汤
'yin'xing'lu 银杏露
'yin'xing'lou 银杏露
'fu'fang'liu'huang'ruan'gao 复方硫磺软膏
'xin'mei'su'di'er'ji 新霉素滴耳剂
'ren'gong'niu'huang'pian 人工牛黄片
'shuan'ji'bao'zhuang'he 栓剂包装盒
'tong'bian'xiao'cuo'pian 通便消痤片
'xiang'he'zhi'yang 香荷止痒
'jia'li'ning 加力宁
'gang'mu 杠木
'wei'le'xin 卫乐新
'wei'yue'xin 卫乐新
'wei'lao'xin 卫乐新
'jie'gu'xiao'fang 接骨效方
'jiang'xi'nan'chang'ji'sheng'zhi 江西南昌济生制
'shuang'ning 爽宁
'yan'suan'an'dian'tong 盐酸胺碘酮
'yu'lin'bao'kun'dan 育麟保坤丹
'jiao'mo'jie'du'kou'fu'ye 角膜解毒口服液
'shao'fu'zhu'yu'jiao'nang 少腹逐瘀胶囊
'bai'ke'ning'ke'li 百咳宁颗粒
'bai'hai'ning'ke'li 百咳宁颗粒
'fa'di'lan 法地兰
'fa'de'lan 法地兰
'mei'luo'xi'lin 美洛西林
'juan'du'liu'qi'yin 蠲毒流气饮
'juan'dai'liu'qi'yin 蠲毒流气饮
'hu'po'tang 琥珀汤
'hu'po'shang 琥珀汤
'dang'gui'bu'xue'jia'cong'bai'tang 当归补血加葱白汤
'dang'gui'bu'xue'jia'cong'bai'shang 当归补血加葱白汤
'yu'xian'san 玉仙散
'xi'zang'lv'rong'hao 西藏绿绒蒿
'luan'fa 乱发
'hao'cao'yin 蒿草饮
'lv'ti'san 驴蹄散
'ze'ji'tang 泽及汤
'ze'ji'shang 泽及汤
'hei'xi'dan 黑锡丹
'xie'shen'xuan'shen'san 泻肾玄参散
'wu'gong'yao'shang 蜈蚣咬伤
'jiang'ya'kang'fu'tang 降压康复汤
'jiang'ya'kang'fu'shang 降压康复汤
'qiu'shi'si'jing'wan 秋石四精丸
'qiu'dan'si'jing'wan 秋石四精丸
'tui'xie'xiao'shi'yin 退邪消食饮
'tui'xu'xiao'shi'yin 退邪消食饮
'tui'ya'xiao'shi'yin 退邪消食饮
'tui'ye'xiao'shi'yin 退邪消食饮
'tui'yu'xiao'shi'yin 退邪消食饮
'yang'shen'bao'fei'jiao'nang 洋参保肺胶囊
'pan'ku'xiu'an 泮库溴铵
'xia'chong'fang 下虫方
'gu'dan'wan 谷疸丸
'yu'dan'wan 谷疸丸
'wu'you'san 无忧散
'jin'xiang'fu'shi'ye 金相腐蚀液
'hong'yu'gao 红玉膏
'fu'fang'ha'qing'jiao'nang 复方蛤青胶囊
'fu'fang'ge'qing'jiao'nang 复方蛤青胶囊
'chuan'xiong'san 川芎散
'ni'qun'di'ping'tie'pian 尼群地平贴片
'teng'huang'lian 藤黄连
'ling'zhi'tang 灵芝糖
'fan'le'pian 凡乐片
'fan'yue'pian 凡乐片
'fan'lao'pian 凡乐片
'mu'ti'ceng'kong'jun 木蹄层孔菌
'ban'lan'gen 板蓝根
'dai'mao'rou 玳瑁肉
'er'zhi'wan 二至丸
'qu'ke'lu'ding 曲克芦丁
'bian'da'ming'pian 苄达明片
'han'zhang'zhong'man'fen'xiao'tang 寒胀中满分消汤
'han'zhang'zhong'man'fen'xiao'shang 寒胀中满分消汤
'ti'hu'gao 醍醐膏
'li'qi'nuan'wei'ke'li 理气暖胃颗粒
'ya'shu 雅抒
'xiao'ye'hun'ji'tou 小叶昏鸡头
'qing'xue'jie'du'pian 清血解毒片
'ju'yuan'zhi'ke'pian 桔远止咳片
'jie'yuan'zhi'ke'pian 桔远止咳片
'rong'jun'mei'kou'han'pian 溶菌酶口含片
'chan'hou'zhu'yu'jiao'nang 产后逐淤胶囊
'ka'bo'mu'di'yan'ye 卡波姆滴眼液
'san'hua'shen'wan 三花神丸
'quan'qian'tong'lin'kou'fu'ye 全钱通啉口服液
'quan'qian'tong'lan'kou'fu'ye 全钱通啉口服液
'xiong'can'yong'yong'chong'cao'ke'li 雄蚕蛹蛹虫草颗粒
'fu'fang'xue'teng 复方血藤
'fu'fang'xie'teng 复方血藤
'qing're'san'jie'pian 清热散结片
'fu'gui'li'zhong'wan 附桂理中丸
'zi'bei'chi 紫贝齿
'jing'fang'bai'du'san 荆防败毒散
'shan'pu'jian'pi 山葡健脾
'qi'bao'mei'ran 七宝美髯
'da'fei'jing'cao 大肺经草
'dai'fei'jing'cao 大肺经草
'tai'fei'jing'cao 大肺经草
'die'da'yao'jiu 跌打药酒
'hong'kou'chuang'gao 红口疮膏
'gong'kou'chuang'gao 红口疮膏
'da'sheng'hua'she'niu'huang'wan 大圣花蛇牛黄丸
'da'sheng'hua'yi'niu'huang'wan 大圣花蛇牛黄丸
'shui'huo'liang'bu'tang 水火两补汤
'gan'ge'san 干葛散
'nuo'zheng 诺正
'zhu'gan'cao 猪肝草
'shen'zong'he'zheng'chu'xue're 肾综合征出血热
'san'du'yin'zi 散毒饮子
'san'dai'yin'zi 散毒饮子
'xiao'lan'hua'di'ding 小蓝花地丁
'xiao'lan'hua'di'zheng 小蓝花地丁
'xin'huang'tang 辛黄汤
'xue'zhi'ning 血脂宁
'xie'zhi'ning 血脂宁
'yang'xue'qing'nao 养血清脑
'bei'ke'neng 贝科能
'fu'fang'huang'lian'san 复方黄连散
'xi'qing 析清
'ji'xue'dai'zhi'ruan'gao 积雪甙脂软膏
'jia'wei'can'shu'tang 加味参术汤
'jia'wei'shen'shu'tang 加味参术汤
'jia'wei'cen'shu'tang 加味参术汤
'jia'wei'san'shu'tang 加味参术汤
'jia'wei'can'zhu'tang 加味参术汤
'jia'wei'can'shu'shang 加味参术汤
'jia'wei'shen'zhu'tang 加味参术汤
'jia'wei'shen'shu'shang 加味参术汤
'jia'wei'cen'zhu'tang 加味参术汤
'jia'wei'cen'shu'shang 加味参术汤
'jia'wei'san'zhu'tang 加味参术汤
'jia'wei'san'shu'shang 加味参术汤
'jia'wei'can'zhu'shang 加味参术汤
'jia'wei'shen'zhu'shang 加味参术汤
'jia'wei'cen'zhu'shang 加味参术汤
'jia'wei'san'zhu'shang 加味参术汤
'yan'suan'san'jia'kun'chun 盐酸三甲昆醇
'tuo'li'jian'zhong'tang 托里健中汤
'tuo'li'jian'zhong'shang 托里健中汤
'shi'zheng 湿证
'ping'an'xiao'yan'pen'wu'jiao 平安消炎喷雾胶
'tou'bao'dan 透宝丹
'yin'lao'mei 银老梅
'pao'zu'pian 泡足片
'jie'du'wu'long'gao 解毒乌龙膏
'qian'lie'shu 前列舒
'liang'di'dan 两地丹
'zhi'jing'san 止痉散
'wu'han'jiu'an'yao'ye'you 武汉久安药业有
'an'tai'yang'xue'yi'mu'wan 安胎养血益母丸
'dong'yang'mei'su 东洋霉素
'xiao'huang'lian'e'jiao'yuan 小黄连阿胶圆
'xiao'huang'lian'a'jiao'yuan 小黄连阿胶圆
'shu'mei'wan 舒眉丸
'sheng'yang'bu'qi'tang 升阳补气汤
'sheng'yang'bu'qi'shang 升阳补气汤
'fu'fang'ban'bian'lian'zhu'she 复方半边莲注射
'cu'qiang'an'suan'jiao'nang 醋羟胺酸胶囊
'qu'fu'ding'tong'sheng'ji'san 去腐定痛生肌散
'zhui'feng'san 追风伞
'fu'kang'ning'pian 妇康宁片
'zhu'she'yong'jia'huang'suan'nai'mo'si'ta 注射用甲磺酸萘莫司他
'zhu'she'yong'jia'huang'suan'nai'mu'si'ta 注射用甲磺酸萘莫司他
'shui'hu'man'gen 水胡满根
'xie'gan'an'shen'jiao'nang 泻肝安神胶囊
'chi'ye'ni'hua'cao 齿叶泥花草
'chi'xie'ni'hua'cao 齿叶泥花草
'shen'qi'bu'gu'zheng 肾气不固证
'shen'qi'fou'gu'zheng 肾气不固证
'bi'yan'gao 鼻炎膏
'ai'chui'tou'ju 矮垂头菊
'shu'xiang'san 荗香散
'wu'dian'gui 乌点规
'an'dian'tai 氨碘肽
'hua'bei'zhi'yao'ji'tuan'xin 华北制药集团新
'xiao'er'zhen'jing'wan 小儿镇惊丸
'bao'zha'wu 爆炸物
'fu'fang'an'ji'yi'huang'suan 复方氨基乙磺酸
'hai'dan 海胆
'mang'cao'san 莽草散
'jiao'qi'san 脚气散
'she'xiang'xin'nao'le'jiao'nang 麝香心脑乐胶囊
'she'xiang'xin'nao'yue'jiao'nang 麝香心脑乐胶囊
'she'xiang'xin'nao'lao'jiao'nang 麝香心脑乐胶囊
'qu'mai'er'chen'tang 曲麦二陈汤
'chang'long'lei 长龙雷
'zhi'bai'ba'wei'wan 知柏八味丸
'zhi'bo'ba'wei'wan 知柏八味丸
'man'shan'bai'tang'jiang 满山白糖浆
'du'mao'hua'gan'zhu'she'ye 毒毛花苷注射液
