'jia'ang 甲肮
'ba'bao'san 八宝散
'bai'jin'wei 白竻薳
'ba'shi 八石
'bei'shu 备疏
'bei'song 倍松
'bi'se'dan 比色单
'shang'feng'jing'pen'wu'ji 伤风净喷雾剂
'shang'feng'fa'jing 伤风发痉
'shang'feng'jing 伤风净
'shou'ru'guo 首如裹
'fei'qian'shen'jing 腓浅神经
'ren'qing'chang'jue 仁青常觉
'ren'qing'mang'jue 仁青芒觉
'shu'qing'ke'li 疏清颗粒
'ren'qing'mu'di'ni'a 仁青母地尼阿
'ru'qing'dan'bai'zhi'fen 乳清蛋白质粉
'ren'qing'zuo'zhu'da'xi 仁青坐珠达西
'shu'qing 疏清
'shen'qian'quan 申缱绻
'shu'feng'qing're'jiao'nang 疏风清热胶囊
'shang'feng'bi'se'bing 伤风鼻塞病
'shang'feng'bi'se 伤风鼻塞
'fei'qie'ji 腓切迹
'shu'feng'xie're 疏风泄热
'fu'ru'qie'chu'shu 副乳切除术
'ru'fang'qie'chu'shu 乳房切除术
'shang'feng'gan'mao'ke'li 伤风感冒颗粒
'shang'feng'gan'mao'pian 伤风感冒片
'ru'fang'qie'kai'shu 乳房切开术
'ru'fang'qie'kai'yin'liu'shu 乳房切开引流术
'sui'qiao'jian'xing'dan'bai'kang'ti 髓鞘碱性蛋白抗体
'sui'qiao'jian'xing'dan'bai 髓鞘碱性蛋白
'shang'feng'ke'cha 伤风咳茶
'shu'feng'san're'jiao'nang 疏风散热胶囊
'shu'feng'san're 疏风散热
'shang'feng'ke'sou 伤风咳嗽
'ke'ke'ke'se 可可壳色
'shang'feng'sou'tu 伤风嗽吐
'shang'feng'sou 伤风嗽
'shang'feng'ke 伤风咳
'sui'qiao'hua 髓鞘化
'chui'ru 吹乳
'shang'feng'ting'jiao'nang 伤风停胶囊
'shu'feng'huo'luo'pian 疏风活络片
'shu'feng'huo'luo'wan 疏风活络丸
'shu'feng'huo'luo 疏风活络
'shang'feng'tu'xie 伤风吐泻
'shang'feng'ting'pian 伤风停片
'shang'feng'tu 伤风吐
'shu'feng'ding'tong'wan 疏风定痛丸
'shang'feng'tou'tong 伤风头痛
'shu'feng'huo'xue'tang 疏风活血汤
'shui'shi'zui'hao'de'yi'yao 水是最好的医药
'ci'shi'gan'zang'shang 此是肝脏伤
'shang'feng'ting 伤风停
'shu'feng'ding'tong 疏风定痛
'quan'zu'bi'dou'yan 全组鼻窦炎
'shang'feng'xuan'yun 伤风眩晕
'ci'shi'yang'yu'cheng'jue'ni 此是阳郁成厥逆
'shang'feng'yao'tong 伤风腰痛
'shang'feng'zhi'ke'tang'jiang 伤风止咳糖浆
'shang'feng'zhi'ke 伤风止咳
'shu'feng'zhi'ke 疏风止咳
'shu'feng'zhi'tong 疏风止痛
'shang'feng'zi'li 伤风自利
'shang'feng'hou'fa'chu 伤风后发搐
'shu'feng'zai'zao'wan 疏风再造丸
'shu'feng'zai'zao 疏风再造
'shuai'ke'feng 帅克风
'shuang'e'feng 双蛾风
'sui'qiang 髓腔
'ren'qin'liu'xing'xing'gan'mao 人禽流行性感冒
'zuan'shi'feng 钻石风
'shu'xie'jing'luan'zheng 书写痉挛症
'shu'xie'jing'luan'zong'he'zheng 书写痉挛综合征
'sheng'rui'en'fu'fang'di'fen'nuo'zhi 圣瑞恩复方地芬诺酯
'shuang'shi'bie'jia'shuo 双识别假说
'shu'xie'liao'fa 疏泄疗法
'shu'xie'zhi'liao 疏泄治疗
're'xie 热泄
'nao'rui'an 瑙瑞安
'shang'fu'xin'pen'wu'ji 伤复欣喷雾剂
'ke'rui'pa 克瑞帕
'shu'xie'kun'nan 书写困难
'ren'xin'fang'li'na'duo'tai 人心房利钠多太
're'xie'pian'sheng'zheng 热邪偏盛证
'gan'bi'xin 甘比新
're'xie'chuan'li 热邪传里
're'xin'tong 热心痛
'dan're 胆热
'ren'ke 人疴
'ru'gan 乳疳
'shang'fu'xin 伤复欣
'shen'fu'xin 申福欣
're'xie'nei'yu'zheng 热邪内郁证
're'gan'qing'pen'wu'ji 热感清喷雾剂
'chuang'shang'xiao 创伤小
'ren'hang'yang'de 人行阳德
'ren'hang'yang'e 人行阳恶
'que'sun'xing'gan'rao'ke'li 缺损性干扰颗粒
'dong'chuan'que'sun 洞穿缺损
'ren'hang'yin'de 人行阴德
'ren'hang'yin'e 人行阴恶
're'sha 热痧
'chuang'shang'gan'ran 创伤感染
'ren'gan'ran'gao'zhi'bing'xing'qin'liu'gan 人感染高致病性禽流感
're'xu'tuo 热虚脱
're'xie'zu'fei 热邪阻肺
'shi'rui'ke 施瑞克
'ba'bao'rui'sheng 八宝瑞生
're'gan'sai'bi'si'tan'ke'li 热感赛比斯坦颗粒
'ba'bao'rui'sheng'wan 八宝瑞生丸
'shan'xing'chun'ban 扇形唇瓣
'ru'lao'bing 乳痨病
'ru'bai'xing'tu'bian 乳白型突变
'ding'shu 丁疏
'ke'rui'te 克瑞特
're'xie'fan'fei'zheng 热邪犯肺证
're'xian 热痫
're'xing 热型
'ru'lao 乳痨
're'xing'jing'jue 热性惊厥
'ren'chu'gong'huan'chuan'ran'bing 人畜共患传染病
'chuang'shang'xing'gu'hua'xing'ji'yan 创伤性骨化性肌炎
'chuang'shang'xing'gu'sui'yan 创伤性骨髓炎
're'fei'cha'ji 热痱搽剂
'chuang'shang'xing'lu'nei'xue'zhong 创伤性颅内血肿
'chuang'shang'xing'qi'xiong 创伤性气胸
'chuang'shang'xing'kui'yang 创伤性溃疡
'sui'xing'duo'han'zheng 髓性多汗症
'chuang'shang'xing'dong'mai'liu 创伤性动脉瘤
'chuang'shang'xing'bi'chu'xue 创伤性鼻出血
'chuang'shang'xing'bi'zhong'ge'chuan'kong 创伤性鼻中隔穿孔
'chuang'shang'xing'xin'bao'ya'sai 创伤性心包压塞
'chuang'shang'xing'xiu'ke 创伤性休克
'chuang'shang'xing'shu'zhui'qian'hua'tuo 创伤性枢椎前滑脱
'chuang'shang'xing'shui'zhong 创伤性水肿
'chuang'shang'xing'ge'shan 创伤性膈疝
'chuang'shang'xing'xi'guan'jie'hua'mo'yan 创伤性膝关节滑膜炎
'chuang'shang'xing'wen'shen 创伤性文身
're'xing'ti'zhi 热性体质
'chuang'shang'xing'dian'xian 创伤性癫痫
'chuang'shang'xing'xue'pao'ji'kui'yang 创伤性血疱及溃疡
'chuang'shang'xing'bai'dian'feng 创伤性白癜风
'shuang'cu'rui'yin'jiao'nang 双醋瑞因胶囊
'chuang'shang'xing'ying'nao'mo'wai'xue'zhong 创伤性硬脑膜外血肿
'chuang'shang'xing'zhou'guan'jie'yan 创伤性肘关节炎
'chuang'shang'xing'zhi'xi 创伤性窒息
'ren'chu'yi'ye 人畜一也
'shuang'cu'rui'yin 双醋瑞因
'song'hua'fei'zi'fen 松花痱子粉
're'fei 热痱
're'wei 热痿
're'xie 热泻
'chuang'shang'xing'bai'ban 创伤性白斑
'chuang'shang'xing'gen'jian'zhou'yan 创伤性根尖周炎
'chuang'shang'xing'er'long 创伤性耳聋
'dou'chuang'fa're 痘疮发热
'chuang'shang'xing'kou'yan 创伤性口炎
'dan'bai'dong'xing'xun'ma'zhen 蛋白胨性荨麻疹
're'xing'xun'ma'zhen 热性荨麻疹
'ru'e 乳娥
'ru'xie 乳卸
'shang'xie 伤蟹
'ru'li'bing 乳疬病
'ru'li 乳疬
'shang'jie'gao 伤疖膏
'ru'fang'xuan'ren'dai 乳房悬韧带
're'xie'yong'fei'zheng 热邪壅肺证
're'jie 热疖
'ru'xuan 乳悬
'shang'jie 伤疖
'chuang'shang'xiu'fu 创伤修复
're'shan 热疝
're'shi'jie'xiong 热实结胸
'shi're'jie'xiong 实热结胸
'shi'ba'fan'shi'jiu'wei 十八反十九畏
'fu'shi're'jie'zheng 腑实热结证
'sui'shi'jian'cha 碎尸检查
'ren'huang'ji'tuan 仁皇集团
'sui'hua'shan'zhong'zi 穗花杉种子
'sui'hua'shan'ye 穗花杉叶
're'sheng'jin'ku'zheng 热盛津枯证
'ren'qi 仁杞
'shang'shan 伤山
'ru'gan'jun'huo'jun'jiao'nang'yin'dao'yong 乳杆菌活菌胶囊阴道用
'ru'gan'jun'huo'jun 乳杆菌活菌
'sui'hua'shan'gen 穗花杉根
'bai're'si 白热斯
'gan'song'cha 甘松茶
'ru'e'bing 乳蛾病
'can'sui'suo'cao 穇穗莎草
'shang'shi'fu'tong 伤食腹痛
'ru'shi'bu'xiao 乳食不消
'ru'fang'si'chong'bing 乳房丝虫病
'ru'shi'nei'ji'zheng 乳食内积证
'shang'shi'xing'fu'xie 伤食型腹泻
'shang'shi'xie 伤食泻
'ru'shi'shang'wei'zheng 乳食伤胃证
'shang'shi'fa're 伤食发热
'shang'shi'tu'xie 伤食吐泻
'shang'shi'tu 伤食吐
'shang'shi'tou'tong 伤食头痛
'shang'shi'tong'zheng 伤食痛证
'shang'shi'e'han 伤食恶寒
're'sha'zheng'gu'liao'fa 热沙蒸骨疗法
'shang'shi'hou'fa'chu 伤食后发搐
'shang'shi'zheng 伤食证
'shang'shi'fa'dan 伤食发丹
'ru'shi'yong'ji'zheng 乳食壅积证
'ru'shi'ji'zhi'zheng 乳食积滞证
'ru'shi'ji'zhi 乳食积滞
'shang'shi'jie'tong'gao 伤湿解痛膏
'shang'shi'jie'tong 伤湿解痛
'ban'guang'an'suan'jia'zhi 半胱氨酸甲酯
'ru'suan'jia'ti'sha'xing 乳酸加替沙星
'ren'duan'lu 仁端录
'ru'suan'jun'su'ke'li 乳酸菌素颗粒
'ru'suan'jun'su'pian 乳酸菌素片
'ru'suan'jun'su'san 乳酸菌素散
'ru'suan'jun'su'fen'san'pian 乳酸菌素分散片
'ru'suan'jun'zhi'ji'jian'yan'fa 乳酸菌制剂检验法
'ru'suan'jun'zhi'ji 乳酸菌制剂
'ru'suan'jun'yin'dao'jiao'nang 乳酸菌阴道胶囊
'shang'shi'fu'tong 伤湿腹痛
're'she'bing 热射病
'ru'suan'mi'li'nong 乳酸米力农
'se'gan'suan'na'qi'wu'ji 色甘酸钠气雾剂
'ru'suan'na'lin'ge'zhu'she'ye 乳酸钠林格注射液
'ru'suan'na'lin'ge 乳酸钠林格
'ru'suan'na'zhu'she'ye 乳酸钠注射液
'ru'suan'na'rong'ye 乳酸钠溶液
'se'gan'suan'na'di'bi'ye 色甘酸钠滴鼻液
'se'gan'suan'na'di'yan'ye 色甘酸钠滴眼液
'se'gan'suan'na'he'nai'duo'luo'mi'na 色甘酸钠和奈多罗米钠
'sa'shi'suan'mei'tuo'luo'er'huan'shi'pian 洒石酸美托洛尔缓释片
'ru'quan'ke'li 乳泉颗粒
'ru'suan'yu 乳酸阈
'ru'suan'gai'ju'jue'pian 乳酸钙咀嚼片
'shui'ru'li'chun 水乳梨醇
'ru'suan'gai'ke'li 乳酸钙颗粒
'ru'suan'gai'pian 乳酸钙片
'ru'suan'pu'ni'la'ming 乳酸普尼拉明
'ru'suan'gai'kou'fu'rong'ye 乳酸钙口服溶液
'ru'suan'gai'kou'fu'ye 乳酸钙口服液
'shi'suan'li'xi'bao'xing'jin'mo'yan 嗜酸粒细胞性筋膜炎
'shi'suan'li'xi'bao'xing'fei'jin'run 嗜酸粒细胞性肺浸润
'shi'suan'li'xi'bao'bai'xue'bing 嗜酸粒细胞白血病
'shi'suan'li'xi'bao'zeng'duo'zheng 嗜酸粒细胞增多症
'shi'suan'li'xi'bao 嗜酸粒细胞
'ru'suan'lin'ge'shi'ye 乳酸林格氏液
'ru'suan'lin'ge'ye 乳酸林格液
'ru'fang'rou'liu 乳房肉瘤
'ru'suan'nuo'fu'sha'xing'zhu'she'ye 乳酸诺氟沙星注射液
'ru'suan'nuo'fu'sha'xing 乳酸诺氟沙星
'gan're'mie'jun 干热灭菌
'ren'shi'xin'li'xue 人事心理学
'ru'suan'xin'ke'ding'pian 乳酸心可定片
'ru'suan'xin'ke'ding 乳酸心可定
're'sheng'niang'nong'zheng 热盛酿脓证
'shi'suan'xiao'ti 嗜酸小体
'ren'ru'xing'man'bing 人蠕形螨病
'shi'suan'xing'jin'mo'yan 嗜酸性筋膜炎
'shi'suan'xing'nong'pao'xing'mao'nang'yan 嗜酸性脓疱性毛囊炎
'shi'suan'xing'feng'wo'zhi'yan 嗜酸性蜂窝织炎
'shi'suan'xing'li'xi'bao'ji'shu 嗜酸性粒细胞计数
'shi'suan'xing'li'xi'bao'xing'pang'guang'yan 嗜酸性粒细胞性膀胱炎
'shi'suan'xing'li'xi'bao'bai'xue'bing 嗜酸性粒细胞白血病
'shi'suan'xing'li'xi'bao'zeng'duo'zheng 嗜酸性粒细胞增多症
'shi'suan'xing'nong'zhong 嗜酸性脓肿
'shi'suan'xing'lin'ba'rou'ya'zhong 嗜酸性淋巴肉芽肿
'shi'suan'xing'xiao'ti 嗜酸性小体
'shi'suan'xing'rou'ya'zhong 嗜酸性肉芽肿
'shi'suan'xing'huai'si 嗜酸性坏死
'shi'suan'xing'ru'gan'jun 嗜酸性乳杆菌
're'rao'xiong'ge'zheng 热扰胸膈证
'shi'suan'xing'xian'liu 嗜酸性腺瘤
'shi'suan'xing'xi'bao'xing'fei'yan 嗜酸性细胞性肺炎
'shi'suan'xing'xi'bao'xing'bai'xue'bing 嗜酸性细胞性白血病
'shi'suan'xing'xi'bao'wei'chang'yan 嗜酸性细胞胃肠炎
'shi'suan'xing'xi'bao'zeng'duo'zheng 嗜酸性细胞增多症
'shi'suan'xing'xian'ai 嗜酸性腺癌
'shi'suan'xing'bai'xue'xi'bao 嗜酸性白血细胞
'shi'suan'xing'zhi'mo'yan 嗜酸性脂膜炎
'shang'shi'xie 伤湿泻
'ru'suan'xin'kou'fu'ye 乳酸锌口服液
'ru'suan'si'pa'sha'xing'pian 乳酸司帕沙星片
'ru'suan'si'pa'sha'xing 乳酸司帕沙星
're'ke'ping'zhu'she'ye 热可平注射液
're'ke'ping 热可平
'ru'suan'si'fu'sha'xing 乳酸司氟沙星
're'ka'she'qu'liang 热卡摄取量
'dou'quan'zi'shi 斗拳姿势
'shi'suan'ru'gan'jun'jiao'nang 嗜酸乳杆菌胶囊
'shi'suan'ru'gan'jun'san 嗜酸乳杆菌散
'shi'suan'ru'gan'jun 嗜酸乳杆菌
're'sheng'po'xue'zheng 热盛迫血证
'shang'shi'ke'sou 伤湿咳嗽
'shang'shi'qu'tong 伤湿去痛
'shi'shui'qi'dan'bao'jun 嗜水气单胞菌
'shang'shi'ke 伤湿咳
'shui'song'pi 水松皮
'shen'ke'bao'zi'si'jun 申克孢子丝菌
'ru'suan'bi'pai'li'deng 乳酸比哌立登
'ru'suan'sai'ke'li'qin 乳酸赛克力嗪
'ru'suan'rong'ye 乳酸溶液
'shang'shi'wan 伤湿丸
'shang'shi'qu'tong'gao 伤湿祛痛膏
'shang'shi'qu'tong 伤湿祛痛
'ai'ke'song 爱可松
'ru'suan'tuo'qing'mei 乳酸脱氢酶
'shang'shi'tou'yun 伤湿头运
'ren'si'xi'zhi 壬四烯酯
'ai'qu'shi 艾去适
'shi'suan'xi'bao'xing'wei'chang'yan 嗜酸细胞性胃肠炎
'shi'suan'xi'bao'zeng'duo'zong'he'zheng 嗜酸细胞增多综合征
'shi'suan'xi'bao 嗜酸细胞
'ru'suan'ya'tie'jiao'nang 乳酸亚铁胶囊
'ru'suan'ya'tie'tang'jiang 乳酸亚铁糖浆
'ru'suan'ya'tie 乳酸亚铁
'ru'suan'ya'tie'kou'fu'ye 乳酸亚铁口服液
'ru'suan'ya'tie'kou'fu 乳酸亚铁口服
'ru'suan'yan'fu'mo'tou'xi'ye 乳酸盐腹膜透析液
'ru'suan'yan'lin'ge'rong'ye 乳酸盐林格溶液
'ban'guang'an'suan'yan'suan'yan 半胱氨酸盐酸盐
'an'ru'e 暗乳蛾
'ru'suan'xun'huan 乳酸循环
'ru'suan'dui'ji 乳酸堆积
'shang'shi'zhi'tong 伤湿止痛
'shang'shi'bao'zhen'gao 伤湿宝珍膏
'ru'suan'yi'sha'ya'ding'rong'ye 乳酸依沙丫啶溶液
'ru'suan'yi'sha'a'ding'zhu'she'ye 乳酸依沙吖啶注射液
'ru'suan'yi'sha'a'ding'rong'ye 乳酸依沙吖啶溶液
'ru'suan'yi'sha'a'ding'tie 乳酸依沙吖啶贴
'ru'suan'yi'sha'a'ding 乳酸依沙吖啶
'ru'suan'yi'sha'a'ding'fen'zhen'ji 乳酸依沙吖啶粉针剂
'ru'suan'qiang'ji'gong'ju'wu 乳酸羟基共聚物
'ru'fang'she'ying'shu 乳房摄影术
'ru'fang'shi'zhen 乳房湿疹
'ru'suan'zuo'yang'fu'sha'xing'jiao'nang 乳酸左氧氟沙星胶囊
'ru'suan'zuo'yang'fu'sha'xing'lv'hua'na 乳酸左氧氟沙星氯化钠
'ru'suan'zuo'yang'fu'sha'xing'pian 乳酸左氧氟沙星片
'ru'suan'zuo'yang'fu'sha'xing'zhu'she'ye 乳酸左氧氟沙星注射液
'ru'suan'zuo'yang'fu'sha'xing'di'yan'ye 乳酸左氧氟沙星滴眼液
'ru'suan'zuo'yang'fu'sha'xing 乳酸左氧氟沙星
'shang'shi'zi'han 伤湿自汗
'shang'shi'zhen'tong'gao 伤湿镇痛膏
'ban'guang'an'suan'yi'zhi 半胱氨酸乙酯
'ru'fang'si'fen'zhi'yi'qie'chu'shu 乳房四分之一切除术
'ru'suan'zuo'fu'sha'xing'pian 乳酸左氟沙星片
'ru'quan 乳泉
'shang'rou 伤肉
'shi'suan 嗜酸
'shuang'guang'an'suan 双胱氨酸
'ru'suan'fu'luo'sha'xing'pian 乳酸氟罗沙星片
'ru'suan'fu'luo'sha'xing 乳酸氟罗沙星
'ru'suan'huan'bing'sha'xing'lv'hua'na 乳酸环丙沙星氯化钠
'ru'suan'huan'bing'sha'xing'zhu'she'ye 乳酸环丙沙星注射液
'ru'suan'huan'bing'sha'xing'di'yan'ye 乳酸环丙沙星滴眼液
'ru'suan'huan'bing'sha'xing 乳酸环丙沙星
'ru'suan'fu'pai'ding'chun 乳酸氟哌啶醇
'se'gan'suan'er'na 色甘酸二钠
're'ke'ning 热可宁
'bi'shi 比适
'ru'shui'qian'huan'jue 入睡前幻觉
'ru'fang'quan'qie'chu'shu 乳房全切除术
'chuang'shang'san 创伤散
'shui'song'qiu'guo 水松球果
're'sheng'dong'feng'zheng 热盛动风证
'sha'ren'qu'feng'you 砂仁驱风油
'sha'ren'qu'feng 砂仁驱风
'shang'sun'chuan'ni 伤损喘逆
'shang'sun'hun'kui 伤损昏愦
're'sun'shang'qu 热损伤区
'shang'sun'yao'tong 伤损腰痛
'shu'san'xing'zhi'bu'han'kong'jiao'hua'zheng 疏散性跖部汗孔角化症
'shi'ba'fan'ge'shi'jiu'wei'ge 十八反歌十九畏歌
'shu'song'jie'di'zu'zhi 疏松结缔组织
're'shang'jin'mai 热伤筋脉
'shu'song'juan'bai 疏松卷柏
'zhi'shi'gua'lou'gui'zhi'tang 枳实栝楼桂枝汤
'lan'ren'shu'pi 榄仁树皮
're'shang'qi'yin'zheng 热伤气阴证
're'ru'qi'fen'zheng 热入气分证
're'sheng'rou'fu'zheng 热盛肉腐证
'shuang'ban'guang'an'suan 双半胱氨酸
're'shang'feng'ke'sou 热伤风咳嗽
'ru'fang'que'ru 乳房缺如
're'ru'xin'bao'yang'ming'fu'shi'zheng 热入心包阳明腑实证
're'ru'xin'bao'zheng 热入心包证
're'ru'xin'bao 热入心包
're'sheng'shang'jin'zheng 热盛伤津证
're'sheng'shang'jin 热盛伤津
'shang'ru'shi'xie 伤乳食泻
'shang'ru'shi 伤乳食
're'sheng'shang'luo'zheng 热盛伤络证
'quan'shi'ren'shang 犬噬人伤
'shang're'ke'sou 伤热咳嗽
'shang're'ru 伤热乳
're'shang'shen'ming 热伤神明
're'sheng'shang'xue 热盛伤血
're'shang'shen'yin'zheng 热伤肾阴证
're'shang'shen'yin 热伤肾阴
're'sheng'shang'yin'zheng 热盛伤阴证
're'sheng'shang'yin 热盛伤阴
're'shang'fei'jin'zheng 热伤肺津证
'ke'bi're'ti'pian 克比热提片
're'shang'fei'luo'zheng 热伤肺络证
're'shang'fei'luo 热伤肺络
'ke'bi're'ti 克比热提
'shang'ru'tu 伤乳吐
'sha'ren'ci'bai'tang 砂仁慈白汤
're'ru'fei'wei'zheng 热入肺卫证
'fu'ru'ru'xian'ai 副乳乳腺癌
're'ru'xue'jie'zheng 热入血结证
're'ru'xue'shi'bing 热入血室病
're'ru'xue'shi'zheng 热入血室证
're'ru'xue'shi 热入血室
're'ru'xue'fen'zheng 热入血分证
'ai'sen'ke'ren'ge'wen'juan 艾森克人格问卷
'shuang'ren'run'chang 双仁润肠
'shuang'ren'run'chang'kou'fu'ye 双仁润肠口服液
're'ru'ying'xue'zheng 热入营血证
're'ru'ying'xue'fu'zhi'an 热入营血服之安
're'ru'ying'fen'zheng 热入营分证
'gan'sui'shu 干髓术
'lan'ren'shu'zi 榄仁树子
'qu'sui'shu 去髓术
'ren'ru'zhi 人乳汁
're'shi'ying 热适应
'shang'ru'zheng 伤乳证
're'ru 热乳
're'shang 热伤
'ru'shun'san 乳吮散
'shang'ru 伤乳
'shuang'ru'e 双乳蛾
'song'shi'san 松石散
're'ru'bao'gong'qi'xue'liang'fan'zheng 热入胞宫气血两燔证
're'ru'bao'gong'zheng 热入胞宫证
'ru'ge'gou'qi'tang 乳鸽枸杞汤
'fei'e'shu 飞蛾树
'ru'kang'ruan'jiao'nang 乳康软胶囊
'shang'shu'fu'tong 伤暑腹痛
'ke'shang'tong'cha'ji 克伤痛搽剂
'sui'shi'xi'chu'shu 碎石洗出术
'ru'shui'xiang'guan'xing'zhang'ai 入睡相关性障碍
'zhi'shi'ban'xia'xie'xin'tang 枳实半夏泻心汤
'ke'shang'tong'qi'wu'ji 克伤痛气雾剂
'gan'song'xiang 甘松香
'shu'shui'xiang'hu'zuo'yong 疏水相互作用
'ren'shen'bian'huan'zheng 人身变换症
'ban'ru'tang'ji'mei'que'fa 半乳糖激酶缺乏
'ban'ru'tang'dan'dian'fa 半乳糖单点法
'ban'ru'tang'xing'bai'nei'zhang 半乳糖性白内障
'ban'ru'tang'xue'zheng 半乳糖血症
'ren'shen'shuo'gai 人身说概
'shang'shu'quan'shu 伤暑全书
'fei'shen'shen'jing 腓深神经
'shuang'ru'tou'ban 双乳头瓣
'song'gan'lan 松橄榄
'song'shi'wan 松石丸
'shang'shu'tou'tong 伤暑头痛
'ke'shang'tong 克伤痛
'se'ke'qu'tuo 涩可去脱
'shang'shu'huo'luan 伤暑霍乱
'dai'duo'shi'wo 怠惰嗜卧
're'shen'jue'shen 热深厥深
'shui'xia'shen'yi 水瑕深翳
'shang'shen 伤娠
'shang'shu 伤暑
'song'bi'tou 松笔头
'ru'kuai'xiao'jiao'nang 乳块消胶囊
'ru'kuai'xiao'ke'li 乳块消颗粒
'ru'kuai'xiao'pian 乳块消片
'shuang'ru'xian'di'hui'sheng'jie'jie 双乳腺低回声结节
'ru'kuai'xiao'tie'gao 乳块消贴膏
're'shui'xiao'yan 热水消炎
'ru'kuai'xiao 乳块消
'shang'ke'tie 伤可贴
'kang'bi'shen 慷彼申
'fei'shen'jing'ma'bi 腓神经麻痹
'ru'fang'shen'jing'xian'wei'liu 乳房神经纤维瘤
'shi'shen'jing'xi'bao'xian'xiang 噬神经细胞现象
'chuan'ru'shen'jing'yuan 传入神经元
'quan'sui'bai'xue'bing 全髓白血病
're'sheng'xue'yu'zheng 热盛血瘀证
're'que'xue'shi'jian 热缺血时间
're'sheng'dong'xue'zheng 热盛动血证
're'ke'han'chu'mai'hong'da 热渴汗出脉洪大
'gan'song'zhi'tong'cha 甘松止痛茶
'ren'shu'bian'lan 仁术便览
're'ke'zhi'han 热可制寒
'bao'ru'shu 保乳术
'shuang'song'zi'feng 双松子风
'ru'fang'suo'xiao'cheng'xing'shu 乳房缩小成形术
're'shao'shang 热烧伤
'ru'ai'shou'shu 乳癌手术
'ru'e'he 乳蛾核
'shi'fa'shi'san'yi 时发时散翳
'gan'ke'sou 干咳嗽
'shi're'nv'xue 实热衄血
'ru'huan'zhuang'shi'yan 乳环状试验
're'sheng'yin'kui'qie'mo'chang 热盛阴亏切莫尝
're'sheng'zhi'jue 热盛肢厥
'hua'shu'ye 桦树液
'shuang'ban'guang'yi'zhi'dong'gan'pin 双半胱乙酯冻干品
're'sheng'ze'zhong 热胜则肿
'shuang'ban'guang'yi'zhi 双半胱乙酯
'ru'suo'zheng 乳缩症
'shui'song'zhi'ye 水松枝叶
'que'ru'zheng 缺乳症
're'ge 热膈
'ren'su 仁苏
're'shui'zhong 热水肿
're'sou 热嗽
'ru'fang'fei'da 乳房肥大
'ru'sou 乳嗽
'shi're'zheng 实热证
'shi'song'zi 石松子
'ban'ru'tang'dai'guo'tang 半乳醣甙果糖
'sui'shi 髓室
'sui'shi'di 髓室底
'sui'shi'ding 髓室顶
'gan'sui'hu 干髓糊
'que'ru 缺乳
'que'shi'san 鹊石散
'qu'shen 去砷
'qu'sui 去髓
'ru'ban 乳瓣
'ru'e 乳蛾
'ru'fang'ban 乳房瓣
'shang'duo 伤堕
'shan'ru'e 单乳蛾
'song'dong'du 松动度
'song'hua'san 松花散
'sui'hua'she'gu 穗花蛇菰
'sui'shi 髓石
'shang'sheng'leng'guo'cai 伤生冷果菜
'shuang'ru'kou'xin'shi 双入口心室
're'sheng'huo 热生火
'song'sheng'deng 松生等
'gan'ke'shao'tan 干咳少痰
'ren'suo'e'jian'zhe 人所恶见者
'zhi'shi'zhi'zi'gu'tang 枳实栀子鼓汤
'ru'shao 乳少
'ren'shou'gong'huan'chuan'ran'bing 人兽共患传染病
'song'ta'cha 松塔茶
'bai'song'ta 白松塔
'fan'fa're 反发热
'fei'hua'shi 飞滑石
'fu'fu'fa're 拂拂发热
'fu'ru'fang 副乳房
'fu'song 福松
'gan'hou'duan 干骺端
'hua'shi'kuai 滑石块
'ru'tou'ji'gong'neng'bu'quan 乳头肌功能不全
'ru'tou'ji 乳头脊
'ke'shi'jing'mai'cong 克氏静脉丛
'shi'ba'wei'jie'yan'wan 十八味戒烟丸
'ru'tou'ji'pi'kai'shu 乳头肌劈开术
'ban'jian'ji 半腱肌
'shi'ba'wei'jiang'xiang'wan 十八味降香丸
'shi'ba'wei'jiang'xiang 十八味降香
're'tong'jing'tang'wan 热痛净糖丸
'feng'shi'jin'nang'mi'lu 冯氏锦囊秘录
'shu'gan'jiao'nang 疏肝胶囊
're'tong'jue 热痛觉
'sui'tai'jian 碎胎剪
'que'shi'zuo'tu 缺失作图
'qu'qu'wei'jing 去龋未净
'ru'tou'ji 乳头肌
'se'du'tu 色度图
'shi'shang'jiao 石上蕉
'ke'shi'jia'luo'tou'tao'chong'bing 克氏假裸头绦虫病
'chuang'shang'xi'jun'xue 创伤细菌学
'ru'fang'cuo'gou'liu 乳房错构瘤
'shi'shang'gua'zi'cai 石上瓜子菜
'shi'ba'wei'bu'shen'yi'qi 十八味补肾益气
'shi'ba'wei'bu'shen'yi'qi'kou'fu'ye 十八味补肾益气口服液
'ru'tou'ceng 乳头层
'shu'tong'an'tu'mo'ji 疏痛安涂膜剂
'shu'tong'an'tu'mo'ji 疏通安涂膜剂
'quan'shen'bing'fa'zheng 全身并发症
'qi'lin'wei 麒麟尾
'shou'shi'bing 首饰病
'shu'tong'an 疏痛安
'shi'ba'wei'dang'shen'wan 十八味党参丸
'ke'shi'zhui'chong 克氏锥虫
'ru'tou'cheng'xing'shu 乳头成形术
'dan'bai'sang'shi'wei'chang'zong'he'zheng 蛋白丧失胃肠综合征
'ren'ti'ji'cheng'chong'xue 人体寄成虫学
'ren'ti'jie'pou'biao'ben'tu'pu 人体解剖标本图谱
'ren'ti'jie'pou'tu 人体解剖图
